path,filename,ext,size_bytes,width,height,mode,format,dpi
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_40_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_40_0.000.png,png,99356,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_40_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_40_1.000.png,png,92848,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_80_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_80_0.000.png,png,108443,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_80_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_80_1.000.png,png,96613,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETAwJET_Rhigh_160_0.000.png,output_Ma-0.5_5000_model_RBETAwJET_Rhigh_160_0.000.png,png,180293,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETAwJET_Rhigh_160_1.000.png,output_Ma-0.5_5000_model_RBETAwJET_Rhigh_160_1.000.png,png,178267,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETAwJET_Rhigh_1_0.000.png,output_Ma-0.5_5000_model_RBETAwJET_Rhigh_1_0.000.png,png,96015,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETAwJET_Rhigh_1_1.000.png,output_Ma-0.5_5000_model_RBETAwJET_Rhigh_1_1.000.png,png,92922,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_6000_model_CRITBETA_Rhigh_0_0.000.png,output_Ma-0.5_6000_model_CRITBETA_Rhigh_0_0.000.png,png,94367,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_6000_model_CRITBETA_Rhigh_0_1.000.png,output_Ma-0.5_6000_model_CRITBETA_Rhigh_0_1.000.png,png,84783,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_6000_model_RBETA_Rhigh_40_0.000.png,output_Ma-0.5_6000_model_RBETA_Rhigh_40_0.000.png,png,94742,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_6000_model_RBETA_Rhigh_40_1.000.png,output_Ma-0.5_6000_model_RBETA_Rhigh_40_1.000.png,png,88378,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_4600_model_RBETAwJET_Rhigh_20_0.000.png,output_Sa+0.94_4600_model_RBETAwJET_Rhigh_20_0.000.png,png,152180,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_4600_model_RBETAwJET_Rhigh_20_1.000.png,output_Sa+0.94_4600_model_RBETAwJET_Rhigh_20_1.000.png,png,148818,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_CRITBETA_Rhigh_0_0.000.png,output_Sa+0.94_5000_model_CRITBETA_Rhigh_0_0.000.png,png,125351,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_CRITBETA_Rhigh_0_1.000.png,output_Sa+0.94_5000_model_CRITBETA_Rhigh_0_1.000.png,png,133480,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,output_Sa+0.94_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,png,120176,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,output_Sa+0.94_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,png,126453,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_10_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_10_0.000.png,png,148705,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_10_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_10_1.000.png,png,146148,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_160_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_160_0.000.png,png,151606,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_160_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_160_1.000.png,png,162225,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_1_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_1_0.000.png,png,134404,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_1_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_1_1.000.png,png,129032,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_20_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_20_0.000.png,png,165058,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_20_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_20_1.000.png,png,170443,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_40_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_40_0.000.png,png,164728,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_40_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_40_1.000.png,png,170423,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_80_0.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_80_0.000.png,png,155135,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETA_Rhigh_80_1.000.png,output_Sa+0.94_5000_model_RBETA_Rhigh_80_1.000.png,png,171678,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETAwJET_Rhigh_160_0.000.png,output_Sa+0.94_5000_model_RBETAwJET_Rhigh_160_0.000.png,png,155398,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETAwJET_Rhigh_160_1.000.png,output_Sa+0.94_5000_model_RBETAwJET_Rhigh_160_1.000.png,png,169815,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETAwJET_Rhigh_1_0.000.png,output_Sa+0.94_5000_model_RBETAwJET_Rhigh_1_0.000.png,png,134515,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa+0.94_5000_model_RBETAwJET_Rhigh_1_1.000.png,output_Sa+0.94_5000_model_RBETAwJET_Rhigh_1_1.000.png,png,128780,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_CRITBETA_Rhigh_0_0.000.png,output_Sa-0.5_5000_model_CRITBETA_Rhigh_0_0.000.png,png,184883,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_CRITBETA_Rhigh_0_1.000.png,output_Sa-0.5_5000_model_CRITBETA_Rhigh_0_1.000.png,png,172071,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,output_Sa-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,png,178930,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,output_Sa-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,png,167682,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_10_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_10_0.000.png,png,208697,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_10_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_10_1.000.png,png,190334,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_160_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_160_0.000.png,png,148157,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_160_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_160_1.000.png,png,158878,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_1_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_1_0.000.png,png,97302,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_1_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_1_1.000.png,png,156652,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_20_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_20_0.000.png,png,191183,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_20_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_20_1.000.png,png,189477,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_40_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_40_0.000.png,png,78069,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_40_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_40_1.000.png,png,181125,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_80_0.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_80_0.000.png,png,162377,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETA_Rhigh_80_1.000.png,output_Sa-0.5_5000_model_RBETA_Rhigh_80_1.000.png,png,164639,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETAwJET_Rhigh_160_0.000.png,output_Sa-0.5_5000_model_RBETAwJET_Rhigh_160_0.000.png,png,164066,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETAwJET_Rhigh_160_1.000.png,output_Sa-0.5_5000_model_RBETAwJET_Rhigh_160_1.000.png,png,162412,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETAwJET_Rhigh_1_0.000.png,output_Sa-0.5_5000_model_RBETAwJET_Rhigh_1_0.000.png,png,154301,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Sa-0.5_5000_model_RBETAwJET_Rhigh_1_1.000.png,output_Sa-0.5_5000_model_RBETAwJET_Rhigh_1_1.000.png,png,153225,800,400,RGBA,PNG,"100.00,100.00"
