dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
4000,20000,MAD,CRITBETA,-0.5,0,1e+25,2.5,7.49e+24,2.8725000000000004e+25,
4000,20000,MAD,CRITBETA,-0.5,1,1e+25,2.5,7.49e+24,1.6241666666666668e+25,
4000,20000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,2.1,7.49e+24,2.4229e+25,
4000,20000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,2.1,7.49e+24,1.3742999999999999e+25,
4200,21000,MAD,RBETA,-0.5,0,1.4e+25,4.8,7.49e+24,4.9952e+25,
4200,21000,MAD,RBETA,-0.5,1,1.4e+25,4.8,7.49e+24,2.5984e+25,
4200,21000,MAD,RBETAwJET,-0.5,0,8e+24,4.4,7.49e+24,4.0956e+25,
4200,21000,MAD,RBETAwJET,-0.5,1,8e+24,4.4,7.49e+24,1.8985333333333335e+25,
4200,21000,MAD,CRITBETA,-0.5,0,1.5e+25,3.7,7.49e+24,4.2713e+25,
4200,21000,MAD,CRITBETA,-0.5,1,1.5e+25,3.7,7.49e+24,2.4237666666666668e+25,
4200,21000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.8,7.49e+24,3.6962e+25,
4200,21000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.8,7.49e+24,1.7987333333333332e+25,
4400,22000,MAD,RBETA,-0.5,0,1.3e+25,2.9,7.49e+24,3.4721e+25,
4400,22000,MAD,RBETA,-0.5,1,1.3e+25,2.9,7.49e+24,2.024033333333333e+25,
4400,22000,MAD,RBETAwJET,-0.5,0,8e+24,3.1,7.49e+24,3.1219e+25,
4400,22000,MAD,RBETAwJET,-0.5,1,8e+24,3.1,7.49e+24,1.5739666666666668e+25,
4400,22000,MAD,CRITBETA,-0.5,0,1.2e+25,2.3,7.49e+24,2.9226999999999997e+25,
4400,22000,MAD,CRITBETA,-0.5,1,1.2e+25,2.3,7.49e+24,1.7742333333333332e+25,
4400,22000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,2.5,7.49e+24,2.7225e+25,
4400,22000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,2.5,7.49e+24,1.4741666666666668e+25,
4600,23000,MAD,RBETA,-0.5,0,1.3e+25,4.1,7.49e+24,4.3709e+25,
4600,23000,MAD,RBETA,-0.5,1,1.3e+25,4.1,7.49e+24,2.3236333333333333e+25,
4600,23000,MAD,RBETAwJET,-0.5,0,8e+24,3.7,7.49e+24,3.5713e+25,
4600,23000,MAD,RBETAwJET,-0.5,1,8e+24,3.7,7.49e+24,1.7237666666666665e+25,
4600,23000,MAD,CRITBETA,-0.5,0,1.4e+25,2.8,7.49e+24,3.4971999999999997e+25,
4600,23000,MAD,CRITBETA,-0.5,1,1.4e+25,2.8,7.49e+24,2.0990666666666666e+25,
4600,23000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.2,7.49e+24,3.2468000000000004e+25,
4600,23000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.2,7.49e+24,1.6489333333333335e+25,
4800,24000,MAD,RBETA,-0.5,0,1.3e+25,4.0,7.49e+24,4.296e+25,
4800,24000,MAD,RBETA,-0.5,1,1.3e+25,4.0,7.49e+24,2.2986666666666667e+25,
4800,24000,MAD,RBETAwJET,-0.5,0,8e+24,3.8,7.49e+24,3.6462e+25,
4800,24000,MAD,RBETAwJET,-0.5,1,8e+24,3.8,7.49e+24,1.7487333333333331e+25,
4800,24000,MAD,CRITBETA,-0.5,0,1.5e+25,2.9,7.49e+24,3.6720999999999997e+25,
4800,24000,MAD,CRITBETA,-0.5,1,1.5e+25,2.9,7.49e+24,2.2240333333333334e+25,
4800,24000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,3.1,7.49e+24,3.1719e+25,
4800,24000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,3.1,7.49e+24,1.6239666666666667e+25,
5000,25000,MAD,RBETA,-0.5,0,1.3e+25,5.0,7.49e+24,5.0450000000000005e+25,
5000,25000,MAD,RBETA,-0.5,1,1.3e+25,5.0,7.49e+24,2.5483333333333333e+25,
5000,25000,MAD,RBETAwJET,-0.5,0,8e+24,4.5,7.49e+24,4.1705e+25,
5000,25000,MAD,RBETAwJET,-0.5,1,8e+24,4.5,7.49e+24,1.9235e+25,
5000,25000,MAD,CRITBETA,-0.5,0,1.5e+25,3.5,7.49e+24,4.1215e+25,
5000,25000,MAD,CRITBETA,-0.5,1,1.5e+25,3.5,7.49e+24,2.373833333333333e+25,
5000,25000,MAD,CRITBETAwJET,-0.5,0,8.5e+24,4.0,7.49e+24,3.846e+25,
5000,25000,MAD,CRITBETAwJET,-0.5,1,8.5e+24,4.0,7.49e+24,1.8486666666666664e+25,
5200,26000,MAD,RBETA,-0.5,0,1.3e+25,3.9,7.49e+24,4.2211e+25,
5200,26000,MAD,RBETA,-0.5,1,1.3e+25,3.9,7.49e+24,2.2737e+25,
5200,26000,MAD,RBETAwJET,-0.5,0,8e+24,3.9,7.49e+24,3.7210999999999997e+25,
5200,26000,MAD,RBETAwJET,-0.5,1,8e+24,3.9,7.49e+24,1.7737e+25,
