row_id,dump_index,timestep,state,model,run_tag,spin,Rhigh,Rhigh_used,Rlow_used,f_used,beta_crit_used,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
40,5000,25000,SANE,CRITBETAWJET,Sa-0.5_5000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,4.587935543586083e+28,58.04204406338567,1.5209629607185661e+29,8.128500231452608e+28,True,
68,6000,30000,SANE,CRITBETA,Sa+0.94_6000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,6.953080179702595e+26,1.4752074188278965,3.3949375944253103e+27,1.5951845434552764e+27,True,
48,5000,25000,MAD,CRITBETA,Ma-0.5_5000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.0490337372085662e+25,5.437942082468383,5.122052356977385e+25,2.4067066104648388e+25,True,
77,6000,30000,SANE,CRITBETAWJET,Sa+0.94_6000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,2.229399147745709e+27,2.729971138449986,7.225246331109184e+27,3.8946815422002004e+27,True,
53,5000,25000,MAD,CRITBETA,Ma+0.94_5000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,4.992704461357304e+24,1.9484739234940716,1.95867741483279e+25,9.857394357014168e+24,True,
54,5000,25000,MAD,CRITBETA,Ma+0.94_5000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,4.992704461357304e+24,1.9484739234940716,1.95867741483279e+25,9.857394357014168e+24,True,
83,6000,30000,MAD,CRITBETA,Ma-0.5_6000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,1.4881947408472306e+25,7.1689171004683425,6.857713649098019e+25,3.278034376930826e+25,True,
62,5000,25000,MAD,CRITBETAWJET,Ma+0.94_5000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,1.470123500686438e+25,5.361790656726135,5.486104702574313e+25,2.808783901315729e+25,True,
79,6000,30000,SANE,CRITBETAWJET,Sa+0.94_6000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,2.229399147745709e+27,2.729971138449986,7.225246331109184e+27,3.8946815422002004e+27,True,
60,5000,25000,MAD,CRITBETAWJET,Ma+0.94_5000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,1.470123500686438e+25,5.361790656726135,5.486104702574313e+25,2.808783901315729e+25,True,
