row_id,dump_index,timestep,state,model,spin,Rhigh,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
60,4000,20000,MAD,RBETAwJET,-0.5,40,7.49e+24,1.6927751093692198e+25,5.064525491595584,5.486104702574313e+25,2.9572183071042503e+25,True,
62,4000,20000,MAD,RBETAwJET,-0.5,80,7.49e+24,2.030063506395659e+25,5.692403963194198,6.293674074828113e+25,3.4512670292064765e+25,True,
66,4000,20000,MAD,RBETAwJET,0.94,40,7.49e+24,6.473187199260086e+24,1.936679089919932,2.097891358276038e+25,1.1308429327093515e+25,True,
64,4000,20000,MAD,RBETAwJET,-0.5,160,7.49e+24,2.128460608063955e+25,6.7979428882918045,7.220119831394517e+25,3.825680349174142e+25,True,
68,4000,20000,MAD,RBETAwJET,0.94,80,7.49e+24,7.95386841409288e+24,2.379676373843945,2.577764445418403e+25,1.3895127094123263e+25,True,
72,4000,20000,MAD,CRITBETA,-0.5,40,7.49e+24,6.570768595944321e+24,2.564335895626129,2.577764445418403e+25,1.297306054869089e+25,True,
74,4000,20000,MAD,CRITBETA,-0.5,80,7.49e+24,6.570768595944321e+24,2.564335895626129,2.577764445418403e+25,1.297306054869089e+25,True,
76,4000,20000,MAD,CRITBETA,-0.5,160,7.49e+24,6.570768595944321e+24,2.564335895626129,2.577764445418403e+25,1.297306054869089e+25,True,
70,4000,20000,MAD,RBETAwJET,0.94,160,7.49e+24,8.908921176448922e+24,3.039401747915699,3.1674040268337506e+25,1.6497294207078449e+25,True,
78,4000,20000,MAD,CRITBETA,0.94,40,7.49e+24,3.0415664146840386e+24,0.9099903794833284,9.857394357014168e+24,5.313509062127414e+24,True,
80,4000,20000,MAD,CRITBETA,0.94,80,7.49e+24,3.0415664146840386e+24,0.9099903794833284,9.857394357014168e+24,5.313509062127414e+24,True,
82,4000,20000,MAD,CRITBETA,0.94,160,7.49e+24,3.0415664146840386e+24,0.9099903794833284,9.857394357014168e+24,5.313509062127414e+24,True,
84,4000,20000,MAD,CRITBETAwJET,-0.5,40,7.49e+24,1.1211889116022955e+25,3.354426581697576,3.63365442129378e+25,1.95867741483279e+25,True,
86,4000,20000,MAD,CRITBETAwJET,-0.5,80,7.49e+24,1.1211889116022955e+25,3.354426581697576,3.63365442129378e+25,1.95867741483279e+25,True,
88,4000,20000,MAD,CRITBETAwJET,-0.5,160,7.49e+24,1.1211889116022955e+25,3.354426581697576,3.63365442129378e+25,1.95867741483279e+25,True,
90,4000,20000,MAD,CRITBETAwJET,0.94,40,7.49e+24,4.287436452938368e+24,1.2827357331355,1.3895127094123263e+25,7.489999999999999e+24,True,
92,4000,20000,MAD,CRITBETAwJET,0.94,80,7.49e+24,4.287436452938368e+24,1.2827357331355,1.3895127094123263e+25,7.489999999999999e+24,True,
94,4000,20000,MAD,CRITBETAwJET,0.94,160,7.49e+24,4.287436452938368e+24,1.2827357331355,1.3895127094123263e+25,7.489999999999999e+24,True,
103,5000,25000,SANE,RBETA,0.94,40,1.83e+27,7.255596685759466e+26,1.0131339159719002,2.579594734804524e+27,1.3435713573188056e+27,True,
104,5000,25000,SANE,RBETA,0.94,80,1.83e+27,7.042786187570709e+26,1.1249519442382685,2.7629406767131023e+27,1.3904993047424144e+27,True,
96,5000,25000,SANE,RBETA,-0.5,40,1.83e+27,9.187558050629612e+27,18.114427673024203,4.23369606922639e+28,2.023735893117437e+28,True,
98,5000,25000,SANE,RBETA,-0.5,80,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
100,5000,25000,SANE,RBETA,-0.5,160,1.83e+27,1.0226447991871814e+28,18.769329510583173,4.457432099623902e+28,2.167573899332755e+28,True,
106,5000,25000,SANE,RBETA,0.94,160,1.83e+27,6.060899471074763e+26,1.2859169797294068,2.959318020012291e+27,1.3904993047424144e+27,True,
114,5000,25000,SANE,RBETAwJET,0.94,40,1.83e+27,1.3786285937452922e+27,1.688175163865195,4.4679891436185993e+27,2.408415443703061e+27,True,
108,5000,25000,SANE,RBETAwJET,-0.5,40,1.83e+27,3.355110190320738e+28,31.75530773020546,9.166331504948337e+28,5.29218396186327e+28,True,
116,5000,25000,SANE,RBETAwJET,0.94,80,1.83e+27,1.581566431861944e+27,1.936679089919932,5.125689166415419e+27,2.7629406767131023e+27,True,
112,5000,25000,SANE,RBETAwJET,-0.5,160,1.83e+27,4.259360646280212e+28,47.33133418419413,1.2920994801987738e+29,7.146572031516054e+28,True,
110,5000,25000,SANE,RBETAwJET,-0.5,80,1.83e+27,3.5875190668768253e+28,39.86562255412841,1.0882927994282324e+29,6.019322042678658e+28,True,
118,5000,25000,SANE,RBETAwJET,0.94,160,1.83e+27,1.6939770300184364e+27,2.074329491793204,5.49e+27,2.959318020012291e+27,True,
125,5000,25000,SANE,CRITBETA,0.94,40,1.83e+27,6.698264889255228e+26,0.6339745962155613,1.83e+27,1.0565509926170152e+27,True,
128,5000,25000,SANE,CRITBETA,0.94,80,1.83e+27,6.698264889255228e+26,0.6339745962155613,1.83e+27,1.0565509926170152e+27,True,
130,5000,25000,SANE,CRITBETA,0.94,160,1.83e+27,6.698264889255228e+26,0.6339745962155613,1.83e+27,1.0565509926170152e+27,True,
120,5000,25000,SANE,CRITBETA,-0.5,40,1.83e+27,1.0250087250477863e+28,16.372576525731983,4.02119022925674e+28,2.023735893117437e+28,True,
122,5000,25000,SANE,CRITBETA,-0.5,80,1.83e+27,1.0250087250477863e+28,16.372576525731983,4.02119022925674e+28,2.023735893117437e+28,True,
124,5000,25000,SANE,CRITBETA,-0.5,160,1.83e+27,1.0250087250477863e+28,16.372576525731983,4.02119022925674e+28,2.023735893117437e+28,True,
138,5000,25000,SANE,CRITBETAwJET,0.94,40,1.83e+27,8.81541235262091e+26,0.8343574909513497,2.408415443703061e+27,1.3904993047424144e+27,True,
132,5000,25000,SANE,CRITBETAwJET,-0.5,40,1.83e+27,2.7305274874311816e+28,25.84378327701745,7.459939827125375e+28,4.306998267329246e+28,True,
135,5000,25000,SANE,CRITBETAwJET,-0.5,80,1.83e+27,2.7305274874311816e+28,25.84378327701745,7.459939827125375e+28,4.306998267329246e+28,True,
140,5000,25000,SANE,CRITBETAwJET,0.94,80,1.83e+27,8.81541235262091e+26,0.8343574909513497,2.408415443703061e+27,1.3904993047424144e+27,True,
142,5000,25000,SANE,CRITBETAwJET,0.94,160,1.83e+27,8.81541235262091e+26,0.8343574909513497,2.408415443703061e+27,1.3904993047424144e+27,True,
136,5000,25000,SANE,CRITBETAwJET,-0.5,160,1.83e+27,2.7305274874311816e+28,25.84378327701745,7.459939827125375e+28,4.306998267329246e+28,True,
144,5000,25000,MAD,RBETA,-0.5,40,7.49e+24,1.024339533790504e+25,4.593430514844835,4.464818989409285e+25,2.171166018996764e+25,True,
148,5000,25000,MAD,RBETA,-0.5,160,7.49e+24,1.218980837739923e+25,4.757246085680572,4.782158155914672e+25,2.4067066104648388e+25,True,
146,5000,25000,MAD,RBETA,-0.5,80,7.49e+24,1.0377777465916735e+25,4.999172776132173,4.782158155914672e+25,2.28590454969934e+25,True,
150,5000,25000,MAD,RBETA,0.94,40,7.49e+24,3.745314389468165e+24,1.9414821476341184,1.828701567524771e+25,8.592548151394678e+24,True,
152,5000,25000,MAD,RBETA,0.94,80,7.49e+24,4.342031343454206e+24,1.9470906483156727,1.8925740299338596e+25,9.203267662082332e+24,True,
