dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
5400,27000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,7.471721888869447e+27,Matched 2.39 Jy @ 228 GHz
5400,27000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.1927397643402208e+28,Matched 2.42 Jy @ 228 GHz
5200,26000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.1049498652743766e+28,Matched 2.36 Jy @ 228 GHz
4600,23000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,5.405011868940441e+27,Matched 2.55 Jy @ 228 GHz
5600,28000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.3286809192513666e+28,Matched 2.39 Jy @ 228 GHz
5600,28000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.534336788952107e+28,Matched 2.41 Jy @ 228 GHz
5800,29000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.2817274879101245e+28,Matched 2.45 Jy @ 228 GHz
5800,29000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.709211075321009e+28,Matched 2.43 Jy @ 228 GHz
5600,28000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.6488103246893272e+28,Matched 2.41 Jy @ 228 GHz
5600,28000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.904016459121211e+28,Matched 2.36 Jy @ 228 GHz
6000,30000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,7.745432942130783e+27,Matched 2.40 Jy @ 228 GHz
5800,29000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.427810917168683e+28,Matched 2.42 Jy @ 228 GHz
6000,30000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.2817274879101245e+28,Matched 2.38 Jy @ 228 GHz
6000,30000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,8.323302873351554e+27,Matched 2.36 Jy @ 228 GHz
5800,29000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,2.046070992224289e+28,Matched 2.42 Jy @ 228 GHz
4000,20000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.121024564460891e+29,Matched 2.43 Jy @ 228 GHz
6000,30000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.534336788952107e+28,Matched 2.39 Jy @ 228 GHz
4000,20000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.904016459121211e+29,Matched 2.41 Jy @ 228 GHz
4000,20000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.3627659212162935e+29,Matched 2.36 Jy @ 228 GHz
4000,20000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.7284795198587675e+29,Matched 2.40 Jy @ 228 GHz
4200,21000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.2792696010314865e+29,Matched 2.41 Jy @ 228 GHz
4200,21000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,1.9737661578123974e+29,Matched 2.43 Jy @ 228 GHz
4200,21000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.6320594735214897e+29,Matched 2.42 Jy @ 228 GHz
4200,21000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.771824482328164e+29,Matched 2.43 Jy @ 228 GHz
4400,22000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.771824482328164e+29,Matched 2.41 Jy @ 228 GHz
4400,22000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,1.9737661578123974e+29,Matched 2.41 Jy @ 228 GHz
4400,22000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.121024564460891e+29,Matched 2.40 Jy @ 228 GHz
4600,23000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.9737661578123974e+29,Matched 2.39 Jy @ 228 GHz
4600,23000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.121024564460891e+29,Matched 2.36 Jy @ 228 GHz
4600,23000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.6320594735214897e+29,Matched 2.43 Jy @ 228 GHz
4400,22000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.405654190703415e+29,Matched 2.39 Jy @ 228 GHz
4600,23000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.932045451454621e+29,Matched 2.39 Jy @ 228 GHz
4800,24000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.046070992224289e+29,Matched 2.38 Jy @ 228 GHz
5000,25000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.2792696010314865e+29,Matched 2.37 Jy @ 228 GHz
4800,24000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.2386345300139604e+29,Matched 2.40 Jy @ 228 GHz
4800,24000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.679835884630556e+29,Matched 2.41 Jy @ 228 GHz
5200,26000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.2792696010314865e+29,Matched 2.42 Jy @ 228 GHz
5000,25000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.5390467554298583e+29,Matched 2.37 Jy @ 228 GHz
5000,25000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.5390467554298583e+29,Matched 2.36 Jy @ 228 GHz
5000,25000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.932045451454621e+29,Matched 2.39 Jy @ 228 GHz
5400,27000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.7092110753210088e+29,Matched 2.42 Jy @ 228 GHz
5200,26000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.5390467554298583e+29,Matched 2.40 Jy @ 228 GHz
5200,26000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.4493209561232414e+29,Matched 2.40 Jy @ 228 GHz
5200,26000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.8284317148534782e+29,Matched 2.45 Jy @ 228 GHz
5400,27000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.046070992224289e+29,Matched 2.41 Jy @ 228 GHz
5400,27000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,1.904016459121211e+29,Matched 2.40 Jy @ 228 GHz
5800,29000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.7092110753210088e+29,Matched 2.36 Jy @ 228 GHz
5600,28000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,1.9737661578123974e+29,Matched 2.44 Jy @ 228 GHz
5400,27000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.3627659212162935e+29,Matched 2.42 Jy @ 228 GHz
5600,28000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.771824482328164e+29,Matched 2.39 Jy @ 228 GHz
5600,28000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.4493209561232414e+29,Matched 2.41 Jy @ 228 GHz
4800,24000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,5.405e+27,Matched 2.96 Jy @ 228 GHz
5600,28000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.8284317148534782e+29,Matched 2.42 Jy @ 228 GHz
5800,29000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,1.904016459121211e+29,Matched 2.39 Jy @ 228 GHz
5800,29000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.2792696010314865e+29,Matched 2.41 Jy @ 228 GHz
5800,29000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.6320594735214897e+29,Matched 2.41 Jy @ 228 GHz
6000,30000,SANE,CRITBETA,-0.5,0.0,5e+24,3.0,1.8e+27,1.9737661578123974e+29,Matched 2.39 Jy @ 228 GHz
6000,30000,SANE,RBETA,-0.5,0.0,5e+24,3.0,1.8e+27,2.4493209561232414e+29,Matched 2.36 Jy @ 228 GHz
6000,30000,SANE,CRITBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.1987239055453864e+29,Matched 2.39 Jy @ 228 GHz
6000,30000,SANE,RBETAwJET,-0.5,0.0,5e+24,3.0,1.8e+27,2.8797726202403784e+29,Matched 2.41 Jy @ 228 GHz
