Timestep,MAD/SANE,Model,Spin,Positron Ratio,MunitOffsetDerived,MunitSlopeDerived,MunitBase,MunitUsed,Flux I,P/I,V/I,Timestamp,Elapsed (min)
4000,SANE,CRITBETAWJET,-0.5,0.0,2.641472651721159e+28,19.170416338287335,1.83e+27,6.149658841627742e+28,0.49886279009026574,,,2025-09-21 08:01:37,1196.39
4000,SANE,CRITBETAWJET,-0.5,1.0,2.641472651721159e+28,19.170416338287335,1.83e+27,3.8108680483566864e+28,0.49970991889801986,,,2025-09-21 08:35:51,1230.63
6000,SANE,RBETA,0.94,0.0,1.5971296685231313e+27,1.413839464528196,1.83e+27,4.18445588860973e+27,0.49995712886306914,,,2025-09-20 16:38:45,275.33
6000,SANE,RBETA,0.94,1.0,1.5971296685231313e+27,1.413839464528196,1.83e+27,2.4595717418853307e+27,0.49999973390604174,,,2025-09-20 17:13:11,309.76
6000,SANE,RBETAWJET,0.94,0.0,1.2010164824358738e+27,1.1705314057782146,1.83e+27,3.343088955010007e+27,0.4695059827388068,,,2025-09-20 21:48:11,584.76
6000,SANE,RBETAWJET,0.94,1.0,1.2010164824358738e+27,1.1705314057782146,1.83e+27,1.9150406399605848e+27,0.5038631601196762,,,2025-09-20 22:22:41,619.26
6000,SANE,CRITBETA,0.94,0.0,1.1553128417381124e+27,0.96805111840158,1.83e+27,2.926846388413004e+27,0.49990254986118593,,,2025-09-21 02:59:18,895.87
6000,SANE,CRITBETA,0.94,1.0,1.1553128417381124e+27,0.96805111840158,1.83e+27,1.7458240239630762e+27,0.4999997032350127,,,2025-09-21 03:33:47,930.36
6000,SANE,CRITBETAWJET,0.94,0.0,9.477525179518356e+26,0.8852281626148637,1.83e+27,2.567720055537036e+27,0.48741771332562,,,2025-09-21 08:10:19,1206.9
6000,SANE,CRITBETAWJET,0.94,1.0,9.477525179518356e+26,0.8852281626148637,1.83e+27,1.4877416971469025e+27,0.5008746067615791,,,2025-09-21 08:44:47,1241.36
5000,SANE,RBETA,0.94,0.0,1.3952751788838192e+27,1.0572253598866619,1.83e+27,3.3299975874764105e+27,0.4806440019675802,,,2025-09-20 16:39:49,276.4
5000,SANE,RBETA,0.94,1.0,1.3952751788838192e+27,1.0572253598866619,1.83e+27,2.040182648414683e+27,0.5000016425038225,,,2025-09-20 17:14:20,310.91
5000,SANE,RBETAWJET,0.94,0.0,1.0400102552490638e+27,0.9757827647100874,1.83e+27,2.825692714668524e+27,0.47421794318146554,,,2025-09-20 21:50:14,586.82
5000,SANE,RBETAWJET,0.94,1.0,1.0400102552490638e+27,0.9757827647100874,1.83e+27,1.635237741722217e+27,0.5032040184239265,,,2025-09-20 22:24:43,621.29
5000,SANE,CRITBETA,0.94,0.0,9.537938679381413e+26,0.7833779675056615,1.83e+27,2.3873755484735018e+27,0.49973990350375713,,,2025-09-21 03:00:20,896.91
5000,SANE,CRITBETA,0.94,1.0,9.537938679381413e+26,0.7833779675056615,1.83e+27,1.4316544281165948e+27,0.49999999588398536,,,2025-09-21 03:34:41,931.26
5000,SANE,CRITBETAWJET,0.94,0.0,7.918466172491698e+26,0.7380691158791227,1.83e+27,2.1425130993079644e+27,0.49259053994159757,,,2025-09-21 08:10:54,1207.47
5000,SANE,CRITBETAWJET,0.94,1.0,7.918466172491698e+26,0.7380691158791227,1.83e+27,1.2420687779354346e+27,0.5008952891375457,,,2025-09-21 08:45:19,1241.9
4000,SANE,RBETA,0.94,0.0,1.3586746118608948e+27,0.8699174797630436,1.83e+27,2.9506235998272646e+27,0.49989109871474535,,,2025-09-20 16:40:19,277.4
4000,SANE,RBETA,0.94,1.0,1.3586746118608948e+27,0.8699174797630436,1.83e+27,1.8893242745163514e+27,0.5000001548457083,,,2025-09-20 17:15:11,312.26
4000,SANE,RBETAWJET,0.94,0.0,1.1240386531124215e+27,0.8586530344473908,1.83e+27,2.6953737061511467e+27,0.4958065299733824,,,2025-09-20 21:52:49,589.9
4000,SANE,RBETAWJET,0.94,1.0,1.1240386531124215e+27,0.8586530344473908,1.83e+27,1.64781700412533e+27,0.500292388685499,,,2025-09-20 22:27:47,624.86
4000,SANE,CRITBETA,0.94,0.0,9.691006960340121e+26,0.7432943558532266,1.83e+27,2.3293293672454168e+27,0.499812688307069,,,2025-09-21 03:07:06,904.17
4000,SANE,CRITBETA,0.94,1.0,9.691006960340121e+26,0.7432943558532266,1.83e+27,1.4225102531044803e+27,0.5000005849993028,,,2025-09-21 03:42:00,939.07
4000,SANE,CRITBETAWJET,0.94,0.0,8.36194785091338e+26,0.730812715982484,1.83e+27,2.1735820553392837e+27,0.49921594012203385,,,2025-09-21 08:21:09,1218.23
4000,SANE,CRITBETAWJET,0.94,1.0,8.36194785091338e+26,0.730812715982484,1.83e+27,1.281990541840653e+27,0.5001220032755902,,,2025-09-21 08:56:10,1253.25
