state,model,spin,dump_index,pos,ipole_munit_used,ipole_flux_jy,grmonty_munit_best,grmonty_flux_jy,grmonty_abs_error_jy,munit_ratio_grmonty_over_ipole,ipole_viewing,grmonty_viewing,grmonty_spec_exists,grmonty_spec_path,grmonty_par_path,grmonty_log_path
SANE,CRITBETA,0.94,5000,0,2.387375548e+27,0.4997399035,1.5754257e+27,0.487183388,0.012816612,0.6598985656,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETA_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_CRITBETA_a+0.94_t5000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_CRITBETA_a+0.94_t5000_pos0_trial04.log
SANE,CRITBETA,0.94,5000,1,1.431654428e+27,0.4999999959,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETA,0.94,6000,0,2.926846388e+27,0.4999025499,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETA,0.94,6000,1,1.745824024e+27,0.4999997032,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETAWJET,-0.5,4000,0,6.149658842e+28,0.4988627901,1.86031309e+28,0.510685165,0.010685165,0.3025067143,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_CRITBETAwJET_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a-0.5_t4000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a-0.5_t4000_pos0_trial04.log
SANE,CRITBETAWJET,-0.5,4000,1,3.810868048e+28,0.4997099189,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETAWJET,0.94,4000,0,2.173582055e+27,0.4992159401,5.83581413e+26,0.504221241,0.004221241,0.2684883285,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_CRITBETAwJET_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a+0.94_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a+0.94_t4000_pos0_trial03.log
SANE,CRITBETAWJET,0.94,4000,1,1.281990542e+27,0.5001220033,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETAWJET,0.94,5000,0,2.142513099e+27,0.4925905399,4.54634386e+26,0.510911973,0.010911973,0.2121967824,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_CRITBETAwJET_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a+0.94_t5000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_CRITBETAwJET_a+0.94_t5000_pos0_trial04.log
SANE,CRITBETAWJET,0.94,5000,1,1.242068778e+27,0.5008952891,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETAWJET,0.94,6000,0,2.567720056e+27,0.4874177133,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,CRITBETAWJET,0.94,6000,1,1.487741697e+27,0.5008746068,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETA,-0.5,4000,0,1.064263406e+29,0.499519377,1.3730436e+29,0.508560942,0.008560942,1.290135123,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETA_pos0_trial05.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0_trial05.log
SANE,RBETA,-0.5,4000,1,6.412695803e+28,0.4999986699,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETA,0.94,4000,0,2.9506236e+27,0.4998910987,2.28168311e+27,0.516697472,0.016697472,0.7732884364,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETA_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a+0.94_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a+0.94_t4000_pos0_trial03.log
SANE,RBETA,0.94,4000,1,1.889324275e+27,0.5000001548,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETA,0.94,5000,0,3.329997587e+27,0.480644002,2.88638872e+27,0.50091894,0.00091894,0.8667840274,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETA_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a+0.94_t5000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a+0.94_t5000_pos0_trial03.log
SANE,RBETA,0.94,5000,1,2.040182648e+27,0.5000016425,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETA,0.94,6000,0,4.184455889e+27,0.4999571289,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETA,0.94,6000,1,2.459571742e+27,0.4999997339,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETAWJET,-0.5,4000,0,9.110548e+28,0.4937169793,1.38221232e+29,0.494479463,0.005520537,1.51715607,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.log
SANE,RBETAWJET,-0.5,4000,1,5.09002839e+28,0.4992023336,1.41830641e+29,0.517635979,0.017635979,2.786441059,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.log
SANE,RBETAWJET,0.94,4000,0,2.695373706e+27,0.49580653,6.37415392e+26,0.498940685,0.001059315,0.2364849781,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_4000_RBETAwJET_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a+0.94_t4000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a+0.94_t4000_pos0_trial04.log
SANE,RBETAWJET,0.94,4000,1,1.647817004e+27,0.5002923887,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETAWJET,0.94,5000,0,2.825692715e+27,0.4742179432,4.62424832e+26,0.506672357,0.006672357,0.1636500776,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa+0.94_5000_RBETAwJET_pos0_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a+0.94_t5000_pos0_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a+0.94_t5000_pos0_trial04.log
SANE,RBETAWJET,0.94,5000,1,1.635237742e+27,0.5032040184,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETAWJET,0.94,6000,0,3.343088955e+27,0.4695059827,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
SANE,RBETAWJET,0.94,6000,1,1.91504064e+27,0.5038631601,,,,,"thetacam~163deg (input often 17deg), fov~160 uas",4pi-integrated from theta bins (N_THBINS=18),,,,
